HitId,HitTitle,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sat May 05 05:18:04 PDT 2012,Sat May 05 05:23:08 PDT 2012,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sat May 05 09:10:32 PDT 2012,Sat May 05 09:13:15 PDT 2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sat May 05 19:57:25 PDT 2012,Sat May 05 19:58:51 PDT 2012,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 04:49:46 PDT 2012,Sun May 06 04:54:49 PDT 2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 10:03:04 PDT 2012,Sun May 06 10:04:10 PDT 2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 12:13:49 PDT 2012,Sun May 06 12:16:59 PDT 2012,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 15:27:41 PDT 2012,Sun May 06 15:28:56 PDT 2012,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 21:06:46 PDT 2012,Sun May 06 21:08:25 PDT 2012,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Sun May 06 21:25:25 PDT 2012,Sun May 06 21:28:31 PDT 2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Mon May 07 05:54:51 PDT 2012,Mon May 07 05:55:35 PDT 2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Mon May 07 08:45:04 PDT 2012,Mon May 07 08:47:42 PDT 2012,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Thu May 10 12:54:12 PDT 2012,Thu May 10 12:55:22 PDT 2012,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2787Q67051QKGK2YDIHC8XMGMDOYE4,Determine if a statement is true or false. BONUS for correct answers!,Approved,Fri May 11 10:09:54 PDT 2012,Fri May 11 10:11:02 PDT 2012,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
