HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2CWE6AUBXHWSL4QIKYMB6WDRSY2Y2H,A1NF6PELRKACS9,Approved,Sat Apr 21 20:07:14 PDT 2012,Sat Apr 21 20:09:37 PDT 2012,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2H1KQW618N46YUQ9OTWXJETNKU4MO7,AQ2PGC2R533LS,Approved,Sun Apr 22 03:49:39 PDT 2012,Sun Apr 22 03:51:20 PDT 2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,26UGTP9RA7S50JC3KNJOM70JTNORW6,A1SRPH3BGCHUOA,Approved,Tue Apr 24 02:59:08 PDT 2012,Tue Apr 24 03:01:12 PDT 2012,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2WIU6L5OBVCI5O8UFZ9JM7GU8HXGZ7,A2XOW0JNSDI2HF,Approved,Tue Apr 24 13:35:56 PDT 2012,Tue Apr 24 13:37:21 PDT 2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2ZO1INMHGYQ4N0Y7MV2FTFFO58BK72,A3QB4ZKIH3FIT9,Approved,Thu Apr 26 00:27:57 PDT 2012,Thu Apr 26 00:30:23 PDT 2012,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2YP7H57DZKPFI1PDO64M95L8PKQ2C3,A2GY8FV96EVCZN,Approved,Thu Apr 26 06:22:05 PDT 2012,Thu Apr 26 06:24:14 PDT 2012,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2BKNQQ7Q67055NV9YGS20QC14X2VBG,A2JEM59HAWM4GX,Approved,Thu Apr 26 12:15:04 PDT 2012,Thu Apr 26 12:18:09 PDT 2012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2WYIAA2SEIUUYXBL19BABIISF3QOOD,A2CRR4XXLNOJP2,Approved,Thu Apr 26 12:43:57 PDT 2012,Thu Apr 26 12:46:51 PDT 2012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,239V8ER9Y8TNOFXW3BWKMHS2VYR5SR,A2BQNQQQ37TR4S,Approved,Thu Apr 26 20:36:50 PDT 2012,Thu Apr 26 20:38:28 PDT 2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,21T4IXKO2L92LBNTLVO35OCCMC8CDH,A1TNTRBLZXTQCL,Approved,Thu Apr 26 22:32:55 PDT 2012,Thu Apr 26 22:37:48 PDT 2012,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2J1ENLVWJ5OPFX9SROZYTWB7I22T1R,Determine if a statement is true or false. BONUS for correct answers!, ,2IBIA0RYNJ92RGVJBU2MQTUH581387,ATZ32H3UZ6747,Approved,Fri Apr 27 00:47:06 PDT 2012,Fri Apr 27 00:49:53 PDT 2012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
